Gene	D1_Control.	D2_Control.	D3_Control.	D4_Control.	D5.ntr	D6_Control.	D1_Treated.	D2_Treated.	D3_Treated.	D4_Treated.	D5_Treated.	D6_Treated.
0610005C13Rik	18.2106	22.2179	21.5195	22.1829	15.4338	8.6847	28.33	15.5536	19.5299	17.38	23.6608	15.5664
0610007P14Rik	378.4287	435.8345	374.4752	441.2652	450.14904999999999	459.0329	343.0123	391.7225	381.8364	411.3276	379.8406	384.2796
0610009B22Rik	170.4791	214.8551	146.8747	173.7423	180.40170000000001	187.0611	207.3524	188.4052	171.8728	195.1425	163.848	149.2884
0610009L18Rik	22.8022	43.6318	29.564	24.6402	24.698799999999999	24.7574	23.5314	18.2979	29.2963	33.9253	34.3473	32.0296
0610009O20Rik	772.6479	710.9869	711.3885	638.8237	580.68090000000007	522.5381	758.6647	690.0545	752.9475	658.6655	606.5513	423.7805
0610010B08Rik	0.0265	0.0	0.0	0.0	0.0075500000000000003	0.0151	2.8739	0.6538	0.9744	2.8141	1.1896	2.8983
0610010F05Rik	601.0695	506.804	543.8378	427.5179	469.09595000000002	510.674	676.7003	495.1667	513.6759	447.9313	487.8551	516.2278
0610010K14Rik	245.4962	343.5787	312.717	272.5631	277.65395000000001	282.7448	231.8058	292.6069	265.6249	298.6629	264.7043	186.7801
0610011F06Rik	250.9976	220.1782	169.2995	175.4377	166.21809999999999	156.9985	178.106	191.2462	161.1249	198.8037	204.1031	124.1788
0610012G03Rik	319.3019	390.6294	309.0936	319.4324	321.51244999999994	323.5925	297.7947	335.4453	263.6648	326.1398	282.53	181.8457
0610030E20Rik	440.929	435.7833	442.5687	469.3309	483.5428	497.7547	444.8075	383.0325	469.7313	460.786	504.3952	585.0803
0610031O16Rik	0.0054	0.0	0.9263	0.0	0.0015499999999999999	0.0031	0.0	0.0	0.0	0.0	0.0072	1.3789
0610037L13Rik	482.9331	563.693	429.125	446.3173	467.73609999999996	489.1549	399.5582	466.6737	437.5006	475.4543	465.2659	408.1207
0610038B21Rik	14.8478	14.1304	23.3367	11.7972	17.175449999999998	22.5537	21.6874	17.0318	14.635	17.3816	23.6561	31.2197
0610039H22Rik	12.4727	4.3221	6.1877	5.8357	9.3581000000000003	12.8805	13.2133	11.4238	11.7205	12.8483	7.2415	22.2984
0610039K10Rik	0.0606	3.5697	7.3394	4.326	3.2486499999999996	2.1713	1.8634	2.8322	1.945	0.8667	2.4131	3.343
0610040B10Rik	19.2891	20.4565	17.9226	17.0246	18.712199999999999	20.3998	18.8574	13.4096	16.5987	17.4034	9.6624	15.4177
0610040F04Rik	1.1264	0.8855	0.8944	0.0	0.0057499999999999999	0.0115	0.0	0.0	0.977	0.0	2.2574	2.8088
0610040J01Rik	53.2573	47.1166	31.3126	32.3135	29.621549999999999	26.9296	40.5344	35.6361	45.9123	21.9032	30.9437	37.2621
0610043K17Rik	3.5582	5.2167	10.7327	10.1818	11.00375	11.8257	8.4509	10.6488	22.5083	11.9109	17.6109	11.8479
1010001N08Rik	77.5959	12.3038	26.8962	14.3405	12.589700000000001	10.8389	61.4889	17.6436	17.5624	9.9731	9.725	7.6578
1110001J03Rik	68.2585	119.0605	84.2085	102.2903	86.105150000000009	69.92	71.5959	87.0578	72.2558	90.7033	104.339	58.1298
1110002L01Rik	98.8117	106.5825	93.1959	71.4771	68.017149999999987	64.5572	106.5286	100.7385	80.0736	87.9459	76.0277	48.1577
