Log2threshold	Number of DE genes detected at log2: 
0610009L18Rik	1
0610040B10Rik	1
1110017D15Rik	1
1110028F11Rik	1
1500009L16Rik	2
1500015O10Rik	2
1600027J07Rik	1
1700003E16Rik	1
1700003F12Rik	1
1700003M07Rik	1
1700017G19Rik	1
1700018L02Rik	1
1700019G24Rik	1
1700024P16Rik	1
1700026D08Rik	1
1700028E10Rik	1
1700029J07Rik	1
1700037C18Rik	1
1700056E22Rik	1
1700066M21Rik	1
2210011C24Rik	1
2210406O10Rik	1
2210416O15Rik	1
2310008N11Rik	2
2310010G23Rik	1
2310030G06Rik	2
2310069B03Rik	1
2410006H16Rik	1
2610203C22Rik	1
2610507I01Rik	1
2700069I18Rik	1
2700099C18Rik	1
2810001G20Rik	1
2810002D19Rik	1
2810417H13Rik	2
2810433D01Rik	1
2810454H06Rik	1
3110039I08Rik	2
3110099E03Rik	2
3300002I08Rik	1
3300005D01Rik	1
3425401B19Rik	3
3830403N18Rik	3
3830408C21Rik	1
3830417A13Rik	1
4632427E13Rik	1
4732491K20Rik	1
4833412C05Rik	1
4833417C18Rik	2
4833418N02Rik	1
4833419F23Rik	1
4833422C13Rik	2
4833427G06Rik	1
4930405A21Rik	1
4930412C18Rik	1
4930427A07Rik	1
4930431P03Rik	1
4930447F24Rik	2
4930447M23Rik	1
4930473A02Rik	1
4930480K23Rik	1
4930487H11Rik	1
4930506A18Rik	2
4930511M06Rik	1
4930515G01Rik	1
4930520O04Rik	1
4930550L24Rik	2
4930558J18Rik	1
4930579G24Rik	1
4930579K19Rik	1
4931403G20Rik	1
4931440P22Rik	1
4933400A11Rik	1
4933400F21Rik	1
4933406C10Rik	1
4933406M09Rik	1
4933412E12Rik	3
4933417E11Rik	1
4933430I17Rik	2
4933433G15Rik	1
4933439C10Rik	1
5031414D18Rik	2
5031434C07Rik	1
5430402O13Rik	1
5430405H02Rik	1
5430419D17Rik	2
5730420D15Rik	1
5730508B09Rik	3
5730559C18Rik	3
6330407A03Rik	1
6430531B16Rik	2
6430550D23Rik	1
8430436N08Rik	1
9030619P08Rik	1
9330102E08Rik	2
9330117O12Rik	1
9330136K24Rik	1
9330159F19Rik	1
9330179D12Rik	1
9330188P03Rik	1
9430020K01Rik	1
