Gene	1.D3_Contro	2.D3_Treate	3.D6_Contro	4.D6_Treate	5.D10_Contr	6.D10_Treat
Plekhg2	5112	3529	2958	1674	2105	1602
Plekhg3	4095	3834	3180	2683	2411	3002
Plekhg1	7993	6405	5073	2398	2419	2029
Plekhg6	402	418	359	344	298	404
4930592I03Rik	39	43	38	13	25	20
Plekhg4	1855	1314	1718	1337	2325	1479
Plekhg5	2150	1794	1877	1860	1847	1892
Nsa2	704	643	638	786	857	762
Nampt	4637	4683	4064	4278	4848	5024
Vmo1	0	0	0	0	0	0
Ndc1	3677	3376	2363	1626	1545	2271
F930015N05Rik	7	4	8	14	5	4
4931406P16Rik	5019	5075	3656	3989	2469	3312
Vwf	52	66	70	178	164	367
Mier1	5904	5605	5362	4796	5023	4702
Mier2	2685	2337	2031	1723	1872	2019
Mier3	2692	2587	2279	1832	1809	1655
Aqp11	70	44	71	43	104	77
Aqp12	0	0	0	0	0	0
1810010H24Rik	51	57	58	89	75	74
Tubal3	0	2	0	0	0	0
Dag1	26439	24362	23116	18312	18023	17269
Myadm	32813	29148	25291	21887	14660	18015
Gm15008	0	0	0	1	2	1
Sacs	1239	1509	904	579	485	409
Zfp712	253	257	311	237	312	190
Zfp710	1698	1544	1340	880	1023	864
Zfp711	0	0	0	0	0	0
Zfp715	2167	2184	2171	1994	1737	1836
Mllt4	15172	15432	12049	11123	8790	9436
Mllt6	5789	5151	4780	3899	3876	3792
Zfp719	1506	1443	1904	1513	1470	1186
Mllt1	9343	8604	7610	6125	5861	6555
Mllt3	4733	4659	3563	2790	2958	2712
Btg4	2	0	2	2	0	2
Btg3	288	338	332	342	302	387
Btg2	13229	15443	5029	5680	2464	1811
Btg1	7465	7242	6722	6100	4943	4515
Smok3a	0	0	0	0	0	0
Smok3b	0	0	0	0	0	0
Nupl1	3896	4120	3398	3317	2737	3429
Nupl2	1135	1162	991	1108	1003	970
Hoxd3os1	6	27	27	66	52	46
Ttc30a2	1	0	1	0	0	1
Npat	4840	4804	3781	2909	3157	3826
Ttc30a1	208	221	172	187	180	210
Gga1	7528	6965	6136	6238	5210	5627
Gga3	2504	2389	2062	1776	1590	1771
1700018C11Rik	0	7	0	1	5	1
Sorbs1	6030	5225	3790	3491	2881	3541
Sorbs3	2827	2271	3445	2467	3031	1804
Sorbs2	37256	29272	21125	14634	16556	14655
Tshz2	0	0	0	0	0	0
Tshz3	857	796	694	525	693	725
Murc	4596	4899	4731	6605	5077	5712
Speer4d	0	0	0	0	0	0
Speer4e	0	0	0	0	0	0
Speer4a	0	0	0	0	0	0
Speer4b	0	0	0	0	0	0
Speer4c	0	0	0	0	0	0
Arhgef28	1722	2594	2272	3967	1363	2537
Arhgef25	13789	11531	13038	10581	13545	9817
Arhgef26	23	25	9	6	4	4
Efnb1	8118	7210	6045	6253	5418	5824
Mkl1	10853	8947	8076	4543	5026	3889
Mkl2	8330	8076	8163	5613	4690	4082
Lmna	65181	63411	69413	62665	54412	52017
Fndc3c1	0	0	0	0	0	4
Zdbf2	1	0	4	2	0	0
Sorcs1	0	2	0	0	0	0
Sorcs2	4387	9952	10522	20375	7514	12566
