Gene	1.D3_Contro	3.D6_Contro	5.D10_Contr	2.D3_Treate	4.D6_Treate	6.D10_Treat
Plekhg2	4603.8904	2977.2733	2276.0023	3197.4133	1742.9014	1733.126
Sorl1	39.6719	28.1874	65.6578	49.991	10.5005	13.1461
Cygb	180.7721	465.0074	821.3062	186.4211	411.2473	433.7778
Ap1s2	2493.4668	2274.7367	2953.8944	3352.2704	3884.3808	5076.5044
Gm14023	16.9535	14.103	33.4993	18.8954	46.7716	55.9931
Ehf	16.0193	17.1226	20.6679	41.7259	31.2574	90.3409
Plekhg1	7198.3567	5106.0512	2615.5711	5803.2305	2496.6776	2195.0732
Tspan7	73.8156	64.4221	31.5359	126.2028	114.4373	54.1935
Tspan4	3536.2584	2761.8946	6151.9781	3777.978	4730.8623	10637.6212
Rybp	2116.3273	2156.9596	1761.3025	2106.555	1888.5866	1049.4702
Pm20d2	15.9861	38.2527	31.4595	52.5897	93.521	48.6725
Syt8	12.3566	35.2378	68.0504	26.0862	75.943	120.7313
Scube3	495.2619	318.0708	381.7696	792.0972	577.8036	579.7905
Scube1	1.6027	2.0258	15.1913	7.9985	53.8583	33.3248
Rasl12	323.1506	356.3142	450.8796	335.1028	594.4255	731.0417
Pcdhga4	37.7474	66.4182	20.7014	84.603	47.8872	16.4046
Zfhx3	25077.5125	20956.6695	11880.3652	23937.2487	11196.2474	9704.6615
Ccin	12.5453	9.0664	3.3888	8.9455	25.9426	33.2316
Ngfr	757.0646	6292.7059	5507.3323	2648.2198	2638.2274	1112.27
Brip1	2679.1896	1558.0967	2164.5855	2779.7769	750.7567	3489.54
Bcl6	1901.0526	2159.9783	2274.751	1597.2555	1628.3307	1279.8406
Cnppd1	3093.196	4078.408	3916.1742	3552.4031	6682.8411	6090.1983
9330117O12Rik	185.4973	257.657	245.3203	136.6907	142.6795	158.0016
Ccdc114	24.1679	26.1779	87.1614	28.8908	28.157	44.3221
Tigar	554.7388	388.5239	348.2787	663.3076	641.2931	625.201
Pdgfra	8796.4987	8671.1358	10010.7505	6971.7664	4275.956	9040.2502
Pcp4l1	10.6177	15.1073	12.0353	36.3575	33.2832	53.7729
4930579G24Rik	1849.853	1289.3505	1287.7509	1609.1505	614.3583	1797.7852
Hsd11b2	44.3575	34.216	20.6163	18.9222	30.1804	15.2657
Rmi2	571.9366	361.3468	469.2502	663.3902	196.8711	565.6898
Hsd11b1	10.6597	37.2224	55.6986	5.2495	4.2464	9.8618
Col10a1	18.6411	15.1155	151.1739	26.0283	29.2561	354.7892
Cebpb	1283.2384	1279.2842	954.8132	1155.108	2458.9427	909.8871
Cebpa	679.8393	835.4068	1198.8361	495.4354	746.4929	716.1651
Unc5b	13027.9999	12673.0532	8553.5532	14169.209	25864.3505	19267.201
Mss51	156.7599	84.5579	101.7248	199.5329	143.6655	122.2797
