Log2threshold	Number of DE genes detected at log2: 
0610009L18Rik	1
0610012G03Rik	1
1110008P14Rik	1
1500009L16Rik	1
1500011K16Rik	1
1500015A07Rik	1
1700008J07Rik	1
1700019G17Rik	1
1700029J07Rik	1
1700123O20Rik	1
1810022K09Rik	1
2010107E04Rik	1
2010107G23Rik	2
2010109I03Rik	1
2300002M23Rik	1
2300005B03Rik	1
2310030G06Rik	1
2310034C09Rik	2
2310050C09Rik	1
2310057N15Rik	1
2610305D13Rik	1
2610528J11Rik	1
2810025M15Rik	1
2810454H06Rik	1
2900060B14Rik	2
3000002C10Rik	2
3830408C21Rik	1
4831440E17Rik	1
4930432K21Rik	1
4930451G09Rik	1
4930474M22Rik	1
4930506A18Rik	1
4930526I15Rik	1
4930563F08Rik	1
4930592I03Rik	1
4930594C11Rik	1
4933400F21Rik	1
4933404O12Rik	2
4933408B17Rik	2
4933424G05Rik	1
5330426P16Rik	1
5730457N03Rik	1
5830415F09Rik	1
6330549D23Rik	2
8030451O07Rik	1
8430426J06Rik	1
9330020H09Rik	1
9330151L19Rik	1
9530091C08Rik	1
9930012K11Rik	1
A2m	3
A330076H08Rik	1
A430005L14Rik	1
A430046D13Rik	1
A430090L17Rik	1
A630089N07Rik	1
A830080D01Rik	1
A830082N09Rik	1
A930013F10Rik	1
A930015D03Rik	1
A930019D19Rik	1
AA414768	1
AI661453	1
AI837181	1
AU021092	1
AU022754	1
Aadac	1
Abhd12b	1
Acan	1
Ace2	1
Ackr4	1
Acp5	3
Acsbg1	1
Acta1	3
Acta2	2
Actc1	1
Actg2	1
Actn2	1
Adamts16	1
Adamtsl2	1
Adamtsl3	1
Adamtsl5	1
Adgrd1	1
Adgrf4	1
Afp	5
Ahsg	1
Akap4	1
Akr1b10	1
Akr1e1	1
Alb	5
Aldh1a1	1
Aldh1a2	1
Aldh3b2	1
Aloxe3	1
Angptl3	2
Ank1	1
Ankrd9	1
Ano9	1
Anp32b	1
Aox4	1
Ap3b2	1
Apba1	1
Apoa1	1
Apoa2	1
Apoa4	1
Apob	4
Apol7a	1
Aprt	1
Arfgef3	1
Arhgap20	1
Arhgap36	1
Arhgef10l	1
Arhgef37	1
Arid5a	1
Arl2	1
Arl5c	1
Armc6	1
Armc7	1
Arpp21	1
Arsg	1
Asna1	1
Aspg	1
Asphd2	1
Atg9b	1
Atn1	1
Atox1	1
Atp2a1	1
Atp5g1	1
Atp6v0e	1
Atp6v1c2	1
Atp6v1f	1
Atp8b3	1
Awat2	1
B3galt1	2
B3gnt7	1
B430319G15Rik	1
B4galnt3	1
BC002163	1
BC029722	1
BC065397	1
BC100530	2
Bad	1
Baiap2l2	1
Baiap3	2
Bbox1	1
Bcas1	1
Bcat1	1
Bcl6	1
Bdkrb2	1
Bend7	1
Bhlhe22	1
Bloc1s1	1
Bola2	1
Bpifc	1
Brms1	1
Brsk2	2
Bsn	1
Btc	1
Bves	1
Bzrap1	1
C1d	1
C1qa	1
C1qtnf3	2
C3	1
Cacna1b	1
Cacna1s	1
Calb1	1
Calcb	1
Calm4	1
Camkmt	1
Capn12	1
Casq2	1
Cbln2	2
Ccbe1	1
Ccdc114	1
Ccdc12	1
Ccdc122	1
Ccdc130	1
Ccdc40	1
Ccdc55	1
Ccdc69	1
Ccdc85a	1
Ccl27a	1
Ccl6	1
Cd36	1
Cd47	2
Cd53	1
Cdc20	1
Cdh15	1
Cdh4	1
Cdh8	1
Celf3	3
Cemip	1
Cfap57	1
Cfap69	1
Cfh	1
Cftr	2
Cgref1	1
Ch25h	1
Chgb	1
Chit1	1
Chodl	1
Chrac1	1
Chrdl1	1
Churc1	1
Cited4	1
Ckb	1
Ckmt1	1
Clca3a2	2
Cldn11	2
Cldn3	1
Cldn4	1
Cldn5	1
Clec10a	1
Clec2g	1
Clic5	1
Clrn1	1
Clstn2	2
Cmtm8	1
Cmya5	1
Cnfn	2
Cnksr1	1
Cnn1	1
Cnnm1	1
Cnnm2	1
Cntn1	1
Cntn3	1
Cntn4	1
Coa4	1
Col11a2	1
Col2a1	1
Col6a5	1
Col8a2	2
Col9a1	3
Col9a3	3
Commd2	1
Commd4	1
Commd6	1
Cox6a1	1
Cptp	1
Cpz	1
Crabp1	1
Crct1	1
Crip1	1
Crisp2	1
Csrnp3	1
Csrp1	1
Cst3	1
Ctse	1
Ctsf	2
Ctsq	1
Ctsw	1
Cubn	1
Cuta	1
Cwc22	2
Cx3cr1	1
Cxx1a	1
Cxx1b	1
Cyp2s1	1
Cyp4f13	2
Cyp4f39	1
Cysrt1	1
D630041G03Rik	1
Dach2	2
Dact2	1
Dapk2	1
Dapl1	1
Dbh	1
Dcdc2a	1
Dct	1
Dcx	1
Ddit4l	1
Ddt	1
Ddx28	1
Ddx49	1
Deb1	1
Dennd1c	1
Depdc7	1
Des	1
Dgkb	1
Dhrs9	1
Disc1	1
Dlk1	1
Dlx2	1
Dlx5	1
Dnah10	1
Dnah17	1
Dnah2	1
Dnah8	1
Dnajc17	1
Dnase1l1	1
Dnase1l2	1
Dnase1l3	1
Dohh	1
Dok5	1
Dpm3	1
Dpp10	1
Dpp4	1
Dpt	1
Dsc1	1
Dsg1b	1
Dusp14	1
Dynap	1
Dynll2	1
Dynlt1b	2
E030013I19Rik	1
Ecm1	1
Efemp1	1
Efnb2	1
Egr3	1
Ehf	2
Eif6	1
Elavl3	1
Elavl4	1
Elovl1	1
Emx2	1
Enpep	1
Epb4.2	1
Epn3	1
Eps8l1	1
Erdr1	1
Ereg	1
Ermap	1
Ero1lb	1
Esrrg	1
Eva1b	1
Evx1	1
F8	1
F8a	1
Fa2h	2
Faah	1
Faap20	1
Fabp4	1
Fam132b	1
Fam135b	1
Fam173b	1
Fam189a2	1
Fam213b	1
Fam229b	1
Fam3b	2
Fam46b	1
Fam69b	1
Fam83g	1
Fam89a	1
Fanca	1
Far2	1
Fas	1
Fbxl16	1
Fbxo17	1
Fbxo44	1
Fcgr3	1
Fcho1	1
Fdps	1
Fetub	1
Fga	3
Fgb	1
Fgf1	1
Fgg	1
Fgl2	1
Fhit	1
Fhl4	2
Fignl2	1
Fkbp11	1
Flg2	2
Flrt1	1
Fmo5	1
Fndc9	1
Foxc1	1
Foxc2	1
Foxd1	1
Foxd2	1
Foxl1	1
Foxp2	1
Frat1	1
Frat2	1
Fstl4	1
Ftl1	1
Fut9	2
Gabrb2	1
Gabrb3	1
Gadl1	1
Galk1	1
Galntl6	1
Gata2	2
Gata5	2
Gcat	1
Gdf6	1
Gdnf	1
Ggt5	1
Glb1l2	1
Glrx	1
Gltscr1	1
Gm10389	1
Gm10400	1
Gm10578	1
Gm10789	1
Gm12992	1
Gm13152	1
Gm13212	1
Gm15987	1
Gm16063	1
Gm16159	1
Gm16576	1
Gm16617	2
Gm16853	1
Gm16897	1
Gm1821	1
Gm19522	1
Gm1966	1
Gm20199	2
Gm20741	2
Gm2115	1
Gm438	1
Gm5577	1
Gm6251	1
Gm6682	1
Gm7120	1
Gm7444	1
Gm8615	2
Gm8801	1
Gm94	1
Gmfg	1
Gna15	1
Gng11	1
Gng4	1
Gnpda1	1
Gpm6b	1
Gpr149	1
Gpr176	1
Gpr179	1
Gpr18	1
Gpr22	1
Gpr34	1
Gprin2	1
Gpx3	1
Grik1	1
Grk4	1
Grm3	1
