Gene	D1_Control.	D2_Control.	D3_Control.	D4_Control.	D5.ntr	D6_Control.	D1_Treated.	D2_Treated.	D3_Treated.	D4_Treated.	D5_Treated.	D6_Treated.
Fdps	1120.3714	971.0303	843.0299	1072.4482	1060.3204500000002	1048.1927	940.5208	896.8971	837.8912	969.2222	1307.7578	643.7465
Hpcal1	139.8511	125.9493	183.6747	166.0701	209.84694999999999	253.6238	134.7262	173.3758	168.9438	207.9938	209.9819	147.5687
Kcnh1	105.5722	62.9476	74.3328	55.238	62.038899999999998	68.8398	84.8207	98.6296	78.1222	64.0756	65.3842	129.1722
4930592I03Rik	70.3985	37.1683	42.0248	59.6131	56.696200000000005	53.7793	68.8151	60.6433	60.5466	46.6681	59.3622	98.6409
Kcnh2	167.8613	108.3305	127.3245	56.0618	44.21425	32.3667	179.2151	155.3942	75.1828	42.944	37.0627	36.5328
Trpv2	21.7079	24.7768	58.4376	29.7627	41.167099999999998	52.5715	24.4627	25.508	31.245	22.8352	41.442	33.8776
Gm10400	28.5871	24.6929	40.2179	81.8842	86.053050000000013	90.2219	23.4768	32.4779	48.8138	60.4472	97.0532	165.8602
Pla2g2f	3.6117	66.3759	121.6618	1432.9173	2077.8312500000002	2722.7452	4.6257	32.3531	220.665	1548.3417	2708.5654	1977.8303
Gm8801	21.7484	60.4764	42.0987	64.0782	40.689999999999998	17.3018	37.6761	69.7033	55.6823	53.1827	15.6886	26.0416
Ehf	71.8308	83.2348	176.329	518.7127	892.42145000000005	1266.1302	37.5973	100.1079	164.0256	568.8987	1502.6994	1512.2876
9330020H09Rik	81.7749	78.1274	74.3648	68.1126	75.970200000000006	83.8278	66.8968	74.2175	82.0397	62.2592	65.3362	49.6529
4933424G05Rik	28.4973	17.6134	34.9144	40.9065	38.200450000000004	35.4944	27.2882	29.0777	41.9976	36.6313	56.7356	66.343
Snord104	134.1442	252.2881	161.275	171.2482	135.11484999999999	98.9815	158.3262	154.1157	146.4816	124.5402	175.5966	107.2073
4930594C11Rik	9.2218	5.1808	17.9177	22.2287	18.120249999999999	14.0118	16.956	11.1893	22.4748	12.7735	14.3243	46.339
Spryd7	111.5167	136.5955	131.6078	195.907	294.0385	392.17	123.3982	83.7919	129.8627	193.2892	310.6362	318.5533
Shank2	76.0909	52.2996	67.1906	80.1418	60.535049999999998	40.9283	78.244	87.2869	67.3829	64.1127	55.873	57.8189
Scn3b	123.7245	71.8288	166.903	108.2518	84.262050000000002	60.2723	96.1329	61.115	87.8886	115.4891	55.9714	36.5155
Krt12	1.3366	1.6064	0.0	4.0258	537.2761999999999	1070.5266	0.858	0.2946	0.9422	4.448	125.9675	760.6434
Sp9	78.5331	138.5126	133.5248	158.5699	119.09694999999999	79.624	72.5058	109.8166	122.0724	148.4627	121.0627	131.8294
Tnmd	11.4374	10.5775	58.0887	10.116	8.3232999999999997	6.5306	10.3272	16.448	17.5849	9.0917	7.3059	5.813
2010107G23Rik	36.4757	74.676	44.7478	62.2384	67.100949999999997	71.9635	52.77	44.8217	55.666	40.2518	61.6521	36.1153
Syt4	12.571	25.8861	59.8472	11.8336	9.7186000000000003	7.6036	16.0153	11.9566	9.746	4.4729	7.3183	9.0613
Csrnp3	516.9515	579.7221	477.5655	424.1862	298.69324999999998	173.2003	566.4456	569.0047	576.2033	406.7312	167.633	173.6455
Nefm	421.0516	157.9368	361.3535	32.9618	41.270650000000003	49.5795	399.7847	315.2636	133.7714	50.2447	45.4178	88.9314
Gpx3	157.0559	119.6259	112.7023	1652.9205	950.69534999999996	248.4702	214.7711	186.4564	118.1238	2247.632	4028.1632	268.5271
Nefl	718.8795	487.4038	625.5927	163.3357	132.25979999999998	101.1839	646.6347	539.1671	270.4939	164.7791	130.8495	104.3827
Mpdu1	320.448	346.19	320.7435	376.5695	349.00980000000004	321.4501	271.3896	281.7638	281.2452	371.9733	360.7447	191.9753
Cyp4f13	43.2303	35.4205	52.8746	37.3824	60.012199999999993	82.642	41.4401	13.8284	49.8047	44.8649	99.1606	36.0248
Hmha1	183.863	99.3593	102.0946	116.6861	116.93715	117.1882	200.8552	97.6168	90.8063	93.3917	105.6925	68.4466
Scarna6	294.464	952.7145	423.727	591.2179	539.65740000000005	488.0969	321.3055	420.8726	669.9532	580.8387	384.6778	335.7251
Nov	36.6018	72.5893	108.2427	376.5733	649.25454999999999	921.9358	55.5011	44.4491	105.4326	441.6561	808.4899	452.6547
Bcl6	54.7574	131.3035	157.6735	226.7511	172.53335000000001	118.3156	74.3723	102.472	193.3744	266.7478	312.795	110.6
Plekhn1	129.7613	120.5291	179.042	448.9563	584.53160000000003	720.1069	119.5918	120.8383	179.6573	465.4203	990.0983	767.892
Scarna2	568.2489	1264.2185	809.9633	995.0729	679.27404999999999	363.4752	659.6755	742.8666	510.7298	827.27	695.532	305.6249
Klf9	55.8927	58.4088	88.5737	125.1166	254.29689999999999	383.4772	76.2581	59.5024	41.9536	170.4021	232.3947	471.2147
Xist	23.9939	58.7227	13.2898	86.5286	49.232149999999997	11.9357	138.0266	27.6066	8.753	16.379	22.7415	21.0568
Syngr1	21.7154	24.7694	33.1299	51.2826	52.467349999999996	53.6521	15.0053	34.2198	26.3525	52.3231	43.8051	24.2158
1700019G17Rik	58.9436	53.3349	44.8122	39.1529	39.471550000000001	39.7902	47.1377	26.8601	43.9481	43.0597	25.1053	29.2853
Cx3cr1	136.4708	162.3787	216.8508	242.0178	248.90825000000001	255.7987	146.0345	147.5202	157.216	234.5711	227.7876	156.0754
Myom2	12.7198	51.4274	150.0733	87.0485	60.766900000000007	34.4853	13.1003	38.2526	105.5174	95.4012	19.2728	60.9785
4930563F08Rik	33.0993	42.5246	46.5315	64.777	63.560050000000004	62.3431	52.7591	33.9516	56.6389	59.5484	74.6343	103.3993
Ccdc114	74.4921	33.7406	25.0287	21.1739	22.436900000000001	23.6999	44.3499	31.3747	22.4442	24.6862	22.6828	20.8686
Nap1l3	71.6078	103.9739	102.2445	65.536	61.281700000000001	57.0274	69.7268	89.3499	94.7451	75.1189	33.4795	39.7188
Tigar	57.9285	46.1109	54.6538	40.7916	40.846050000000005	40.9005	61.2772	64.3707	53.7109	45.7702	46.3597	67.2432
Pcdhb9	13.8291	40.8246	42.1127	36.5819	47.277349999999998	57.9728	21.6112	21.0779	69.3814	32.0152	82.5475	24.3569
Gm10578	18.2411	22.1851	24.2079	19.5447	15.188099999999999	10.8315	45.3896	40.5603	24.4189	9.9809	7.3606	15.6866
Adgrd1	2.4729	1.6096	6.1109	40.9545	84.138249999999999	127.322	1.8	4.5439	2.8943	33.8895	49.6366	104.2447
Zcchc5	71.8308	214.6374	665.7845	839.3385	795.88919999999996	752.4399	120.5297	257.9541	463.8681	870.4878	592.1516	526.2127
Pcdhb8	64.739	56.7922	47.429	53.6234	56.377299999999998	59.1312	35.7546	56.3308	73.2582	55.8676	64.0537	69.0861
0610009L18Rik	22.8022	43.6318	29.564	24.6402	24.698799999999999	24.7574	23.5314	18.2979	29.2963	33.9253	34.3473	32.0296
Gm16159	30.7551	22.074	28.5997	42.6219	41.733999999999995	40.8461	29.178	27.6193	48.8438	36.6286	37.9975	76.031
Rpl14-ps1	134.2741	505.3075	197.9101	306.6686	280.20805000000001	253.7475	324.2093	419.2612	158.1771	324.3249	201.9272	297.8096
A430090L17Rik	25.0791	14.9532	19.6121	37.5299	39.168899999999994	40.8079	31.0907	24.8001	16.5756	29.2907	46.095	68.9986
Hsd11b1	5.8798	5.1573	2.5332	50.5673	37.659199999999998	24.7511	4.626	5.9915	7.7793	66.272	118.1085	12.6393
Tdh	1.3346	9.5758	12.3695	44.9975	156.02170000000001	267.0459	1.7978	11.6487	11.6799	61.3395	212.5133	161.6373
Nr4a1	59.2149	86.0773	92.2821	118.5247	113.53465	108.5446	57.4315	75.5005	77.1392	116.4088	125.6089	64.8412
